source_document_id,source,reference,target_document_ids,target_sources,example_chunk_index
007740e5-8bde-453f-a9ce-6580ecef44af,Clarification on applicability of Forest _Conservation_ Act_ 1980 over RoW of Railways 21.05.2019.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
00806877-004f-4c3e-af8c-099569b9220a,Ashok Sharma- 4.3.2025.pdf,"the Forest (Conservation) Amendment Act, 2023",0968db51-29d7-4563-84d5-df3a1ef17e05; 18073af1-0a38-4941-a47e-9a80d45a9c11,247866.pdf; FCAmendmentAct2023.pdf,4
00806877-004f-4c3e-af8c-099569b9220a,Ashok Sharma- 4.3.2025.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,4
0421a9af-1991-4325-ae52-d28dfa98179d,Issues referred by the Department of Telecommunication 13.06.2023.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
05e3c50d-36a7-4f9b-bbfe-b73fc49f5648,Clarification sought by the Regional Office_ Bangalore 02.01.24.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
08105ea7-bddc-4a8b-98b1-68b7980a95aa,Clarification on applicability of FCA_ 1980 in Railways land 01.01.20.pdf,"the Forest (Conservation) Act,

1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
08e79e71-ee46-41e0-a7de-3c3f87efea44,Submission of proposals to obtain approval mining lease 31.03.2016 _1_.docx,the Forest (Conservation) Act 1980,8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
0968db51-29d7-4563-84d5-df3a1ef17e05,247866.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,1
0bf4ebdc-2524-446a-bf3e-14acee5808e7,fc-guidelines-110909.pdf,"Forest

(Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
0cb9272f-a2d2-44ae-9e6d-127b8f030b4c,Revised draft Policy on Inspection_ Verification_ Monitoring and Overall Procedure Relating to_ Grant of Forest Clearances and Identification of Forests. 2014.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,1
0d1e1202-b42e-4e1c-811a-8c2e69444111,Guidelines on the Accredited Compensatory Afforestation 24.01.2023.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,1
0f94a35a-5f6f-4ef8-9645-7d2af2380320,W.P _ c_ 1164 of 2023 S.C.docx,"Forest (Conservation)Act,1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
10cb9ff1-56ed-4be1-8650-aa47fc8083d6,Clarification on -Dictionary meaning of forest 05.12.2019.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
10df6dca-b3df-4764-bdac-bc6334cc2584,Clarification on the provisions of raising CA 13.06.2023.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
