filename,size_bytes,uploaded_at_utc,document_record_status,latest_job_status,failure_category,failure_reason,reason_source,attempt_count,latest_job_id,job_created_at_utc,job_started_at_utc,job_finished_at_utc,document_updated_at_utc
07 May 2015.pdf,1055700,2026-07-25T13:42:50.914000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Could not read PDF 07 May 2015.pdf: startxref not found","ingest_jobs.error",1,15ad0dbc-bab3-48a9-9cf1-e52039f4e3da,2026-07-25T13:43:02.08467+00:00,2026-07-25T13:50:14.101343+00:00,2026-07-25T13:50:15.038954+00:00,
08 August 2014.pdf,277695,2026-07-25T13:42:50.734000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Could not read PDF 08 August 2014.pdf: startxref not found","ingest_jobs.error",1,1ad4148f-03f8-4904-807f-14581958790e,2026-07-25T13:43:02.576264+00:00,2026-07-25T13:50:19.181927+00:00,2026-07-25T13:50:20.119632+00:00,
"1Guidelines for Eco-Sensitive Zones around Protected Areas 2011.pdf",3418966,2026-07-27T12:46:18.661000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,ef0c2768-0759-4970-abc5-7bde53e73714,2026-07-27T12:46:29.938215+00:00,2026-07-27T13:03:34.973282+00:00,2026-07-27T13:03:36.541019+00:00,
"27 September 2017.pdf",67320,2026-07-25T13:43:07.598000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,bb7b830a-c2fe-4547-9eb4-de85a1a70159,2026-07-25T13:43:13.16893+00:00,2026-07-25T13:50:22.367179+00:00,2026-07-25T13:50:23.201042+00:00,
"29 September 2016.pdf",384285,2026-07-25T13:43:17.630000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Could not read PDF 29 September 2016.pdf: startxref not found","ingest_jobs.error",1,74398120-4a3d-4a07-b323-ca5c416a5b4e,2026-07-25T13:43:22.889991+00:00,2026-07-25T13:50:34.681574+00:00,2026-07-25T13:50:35.630971+00:00,
"All original documents of all the proposals with Ink Sign and Stamp 17.11.2016.pdf",721140,2026-08-04T10:31:35.168000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Could not read PDF All original documents of all the proposals with Ink Sign and Stamp 17.11.2016.pdf: startxref not found","ingest_jobs.error",1,5e03655f-7b43-4a78-80d1-1f95c834662d,2026-08-04T10:31:46.665892+00:00,2026-08-04T10:38:58.469284+00:00,2026-08-04T10:38:59.698265+00:00,
"CA-1000 plants-2017 circular.pdf",2028336,2026-07-25T13:54:36.661000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,3429aa6f-f725-4ce2-a66f-02a7a201f89f,2026-07-25T13:54:43.690881+00:00,2026-07-25T14:01:51.315577+00:00,2026-07-25T14:01:52.314129+00:00,
CLARIF_4.PDF,1352520,2026-07-27T14:28:26.318000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,a7f9ec36-2782-4ef9-bab9-3a4ae8069ced,2026-07-27T14:28:31.798738+00:00,2026-07-27T14:36:21.307444+00:00,2026-07-27T14:36:22.315219+00:00,
"Calculation of safety zone raise by Government of Odisha in case of Gandhamardan _Block-B_ mining lease of OMC 02.02.18-.pdf",66300,2026-07-28T13:03:09.506000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,91ba0ee1-92ae-4edf-8546-672b351bd0b7,2026-07-28T13:03:16.014923+00:00,2026-07-28T13:10:25.41897+00:00,2026-07-28T13:10:27.620451+00:00,
"Calculation of safety zone raise by Government of Odisha in case of Gandhamardan _Block-B_ mining lease of OMC 02.02.18.pdf",66300,2026-07-28T12:44:41.353000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,8b3bb111-9cdc-4902-bdbe-1b31304b8fcf,2026-07-28T12:44:48.153884+00:00,2026-07-28T12:52:01.459962+00:00,2026-07-28T12:52:02.560682+00:00,
